"presvote16post_2016","faminc_2016","pid3_2016","employ_2016","child18_2016","marstat_2016","educ_2016"
"Hillary Clinton","Prefer not to say","Democrat","Retired","No","Widowed","4-year"
"Donald Trump","$60,000 - $69,999","Republican","Permanently disabled","No","Married","Some college"
"Hillary Clinton","$50,000 - $59,999","Independent","Retired","No","Single","High school graduate"
"Gary Johnson","$70,000 - $79,999","Independent","Full-time","No","Divorced","Some college"
"Donald Trump","$40,000 - $49,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$30,000 - $39,999","Democrat","Retired","No","Married","2-year"
"Hillary Clinton","$120,000 - $149,999","Democrat","Full-time","Yes","Married","Post-grad"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","High school graduate"
"Hillary Clinton","$200,000 - $249,999","Democrat","Full-time","No","Married","4-year"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Divorced","Some college"
"Hillary Clinton","$80,000 - $99,999","Democrat","Retired","No","Married","Post-grad"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","Post-grad"
"Donald Trump","$200,000 - $249,999","Republican","Full-time","Yes","Married","4-year"
"Hillary Clinton","$100,000 - $119,999","Democrat","Retired","No","Married","Post-grad"
"Hillary Clinton","$40,000 - $49,999","Independent","Retired","No","Divorced","Post-grad"
"Hillary Clinton","Prefer not to say","Independent","Full-time","No","Married","4-year"
"Hillary Clinton","$40,000 - $49,999","Democrat","Part-time","Yes","Married","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Full-time","No","Married","4-year"
"Hillary Clinton","$200,000 - $249,999","Independent","Retired","Yes","Married","4-year"
"Hillary Clinton","$50,000 - $59,999","Democrat","Unemployed","No","Single","Some college"
"Donald Trump","$100,000 - $119,999","Republican","Full-time","No","Married","Post-grad"
"Hillary Clinton","$40,000 - $49,999","Democrat","Retired","No","Single","Some college"
"Donald Trump","$10,000 - $19,999","Republican","Retired","No","Single","4-year"
"Other","$150,000 - $199,999","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$150,000 - $199,999","Independent","Full-time","Yes","Married","4-year"
"Donald Trump","$120,000 - $149,999","Independent","Full-time","No","Single","4-year"
"Gary Johnson","$150,000 or more","Independent","Full-time","No","Married","Some college"
"Hillary Clinton","Prefer not to say","Independent","Part-time","No","Married","4-year"
"Donald Trump","$60,000 - $69,999","Republican","Full-time","No","Divorced","Some college"
"Hillary Clinton","Prefer not to say","Independent","Part-time","No","Married","4-year"
"Hillary Clinton","Prefer not to say","Republican","Full-time","No","Married","4-year"
"Donald Trump","$20,000 - $29,999","Republican","Full-time","No","Married","High school graduate"
"Donald Trump","$40,000 - $49,999","Republican","Retired","No","Married","High school graduate"
"Donald Trump","$30,000 - $39,999","Republican","Part-time","No","Divorced","Post-grad"
"Hillary Clinton","$60,000 - $69,999","Democrat","Full-time","No","Married","2-year"
"Donald Trump","Prefer not to say","Republican","Full-time","No","Married","Post-grad"
"Donald Trump","$100,000 - $119,999","Republican","Retired","No","Married","2-year"
"Donald Trump","$10,000 - $19,999","Republican","Unemployed","No","Divorced","Some college"
"Hillary Clinton","$70,000 - $79,999","Democrat","Retired","No","Married","4-year"
"Hillary Clinton","$10,000 - $19,999","Democrat","Permanently disabled","No","Divorced","Some college"
"Hillary Clinton","$20,000 - $29,999","Democrat","Retired","No","Single","High school graduate"
"Donald Trump","Prefer not to say","Republican","Retired","No","Married","4-year"
